;link;Amount;ComplRate;OverSuccess;Duration;NDon;ADon;NInfo;NPers;NComment;NJumpA;NJump1;NDonLevel;BCulture;OtherProject;Facebook;NFacebook
132;https://www.kisskissbankbank.com/fr/projects/rachel-la-sexologue-belge-sur-les-planches;3015;100;0;60;50;42.611111111111114;14;2;22;11;36;1;1;0;1;807
133;https://www.kisskissbankbank.com/fr/projects/peepshow-dans-les-alpes;3055;101;0;60;73;40.67164179104478;15;1;12;21;67;0;1;0;1;2969
134;https://www.kisskissbankbank.com/fr/projects/juste-apres-les-larmes;5040;100;0;60;49;114.07894736842105;16;0;6;4;38;1;1;0;1;266
135;https://www.kisskissbankbank.com/fr/projects/aldene-la-tournee-officielle-de-l-illustre-inconnu;2828;113;1;60;78;38.333333333333336;16;0;32;25;69;0;1;0;5;5
136;https://www.kisskissbankbank.com/fr/projects/kingonscreen;21056;211;1;60;238;89.8051948051948;1;14;64;52;231;7;1;1;5;5
137;https://www.kisskissbankbank.com/fr/projects/besoin-de-renfort-post-covid-pour-coudre-mes-robes-de-mariee;7350;327;1;60;60;123.14814814814815;11;4;28;6;54;3;0;0;5;5
138;https://www.kisskissbankbank.com/fr/projects/thenaturalreset;7858;112;1;92;99;82.5421686746988;6;9;29;23;83;2;0;0;5;5
139;https://www.kisskissbankbank.com/fr/projects/collection-extraculte-4-films-cultes-en-dvd-blu-ray-collector;10922;137;1;60;223;49.32394366197183;12;3;85;149;213;1;1;1;5;5
140;https://www.kisskissbankbank.com/fr/projects/c-est-la-goutte-d-eau;10215;102;0;61;72;95.98591549295774;10;5;10;27;71;0;1;0;5;5
141;https://www.kisskissbankbank.com/fr/projects/le-son-qui-rejouit-nos-coeurs;3925;110;1;60;53;74.05660377358491;11;4;22;11;53;6;1;0;5;5
142;https://www.kisskissbankbank.com/fr/projects/arkuchi-le-mensuel-urbain-qui-aime-les-pas-de-cote;6395;107;1;60;121;55.53921568627451;11;4;31;25;102;4;1;0;5;5
143;https://www.kisskissbankbank.com/fr/projects/un-camion-pour-medecins-du-monde-a-montpellier;6820;105;0;60;114;55.48888888888889;10;5;10;22;90;1;0;1;5;5
144;https://www.kisskissbankbank.com/fr/projects/nouvel-album-feminine-karma;4569;101;0;60;50;65.62162162162163;13;2;19;6;37;0;1;0;5;5
145;https://www.kisskissbankbank.com/fr/projects/everest-green;20421;102;0;60;262;43.7803738317757;13;2;30;70;214;0;1;0;5;5
146;https://www.kisskissbankbank.com/fr/projects/du-blues-du-blues-du-blues-a-one-man-band-his-friends;4225;105;0;60;66;34.90384615384615;15;0;22;23;52;0;1;0;5;5
147;https://www.kisskissbankbank.com/fr/projects/pas-le-choix;17025;113;1;60;276;53.08457711442786;15;0;42;38;201;3;1;1;5;5
148;https://www.kisskissbankbank.com/fr/projects/barbara-100-70s;5955;119;1;60;97;55.91463414634146;11;4;50;25;82;0;1;0;5;5
149;https://www.kisskissbankbank.com/fr/projects/un-camion-pour-l-evasion-de-la-ferme-d-animation-du-long-reage;4560;101;0;60;61;59.72222222222222;15;0;14;12;54;1;0;0;5;5
150;https://www.kisskissbankbank.com/fr/projects/eric-lavalette-band-3e-album;3265;102;0;60;69;48.73015873015873;12;3;25;24;63;0;1;0;5;5
151;https://www.kisskissbankbank.com/fr/projects/rire-et-jouer-a-l-ecole-une-scene-pour-le-chapoly;6605;132;1;60;118;53.75;8;7;13;28;96;0;1;0;5;5
152;https://www.kisskissbankbank.com/fr/projects/j-aime-mon-ecole;9269;102;0;60;56;116.23529411764706;13;2;16;5;51;1;1;0;5;5
153;https://www.kisskissbankbank.com/fr/projects/l-effacee;5035;100;0;60;48;112.04761904761905;9;6;7;3;42;1;1;1;5;5
154;https://www.kisskissbankbank.com/fr/projects/tokyo-vice-le-livre;13570;142;1;60;286;46.44758064516129;9;6;34;47;248;1;1;0;5;5
155;https://www.kisskissbankbank.com/fr/projects/la-france-vue-d-ici-acte-ii;16061;107;1;60;285;53.205882352941174;7;8;19;31;202;3;1;1;5;5
156;https://www.kisskissbankbank.com/fr/projects/du-sucre-pour-le-festival-du-the-vert;3520;117;1;60;152;21.8125;11;4;30;35;112;0;1;0;5;5
157;https://www.kisskissbankbank.com/fr/projects/muses-002;440;110;1;60;25;14.761904761904763;12;3;2;8;21;0;1;1;5;5
158;https://www.kisskissbankbank.com/fr/projects/l-himalaya-ma-chance-mon-espoir;2176;100;0;60;36;39.166666666666664;6;9;7;9;30;2;1;0;5;5
159;https://www.kisskissbankbank.com/fr/projects/sous-2-airs-de-gazelles-soutenons-la-vie-la;2171;144;1;60;55;37.58536585365854;10;5;16;20;41;0;0;0;5;5
160;https://www.kisskissbankbank.com/fr/projects/murky-world-le-nouveau-corben-edition-limitee-et-exclusive;71690;896;1;60;728;98.9009900990099;3;11;103;166;707;6;1;1;5;5
161;https://www.kisskissbankbank.com/fr/projects/deux-hors-series-magic-pour-finir-l-annee;28723;106;1;60;839;27.916452442159382;10;4;56;320;778;0;1;0;5;5
162;https://www.kisskissbankbank.com/fr/projects/dansons-la-rencontre-entre-l-afrique-et-des-jeunes-en-situation-de-handicap;7600;127;1;60;82;92.6829268292683;14;0;10;17;82;17;1;0;5;5
163;https://www.kisskissbankbank.com/fr/projects/renaud-louis-servais-dirige-50-guitaristes-sur-une-oeuvre-de-michel-legrand;4637;108;1;64;46;27.325581395348838;14;0;28;17;43;2;1;0;5;5
164;https://www.kisskissbankbank.com/fr/projects/creation-d-une-librairie-cafe-disquaire;7309;107;1;60;137;48.252252252252255;14;0;55;30;111;0;1;0;5;5
165;https://www.kisskissbankbank.com/fr/projects/une-mode-ethique-pour-un-developpement-local;5425;108;1;60;138;36.28455284552845;11;3;15;36;123;0;0;0;5;5
166;https://www.kisskissbankbank.com/fr/projects/guide-pierres-seches;5385;108;1;60;189;27.5748502994012;11;3;24;38;167;0;1;0;5;5
167;https://www.kisskissbankbank.com/fr/projects/dessine-moi-un-objet;4530;113;1;60;103;43.733333333333334;11;3;36;27;75;0;0;0;5;5
168;https://www.kisskissbankbank.com/fr/projects/preservons-les-partitions-de-royaumont;24110;120;1;60;139;186.53153153153153;14;0;10;15;111;0;1;0;5;5
169;https://www.kisskissbankbank.com/fr/projects/l-accent-bourguignon;9352;116;1;60;114;88.79120879120879;14;0;26;23;91;6;1;0;5;5
170;https://www.kisskissbankbank.com/fr/projects/couleurs-et-distraction-aux-urgences-d-argenteuil;9435;143;1;60;142;71.10989010989012;8;6;29;14;91;5;0;0;5;5
171;https://www.kisskissbankbank.com/fr/projects/la-manufacture-de-vinyles;38150;152;1;60;228;138.60655737704917;12;2;58;27;183;0;1;0;5;5
172;https://www.kisskissbankbank.com/fr/projects/la-graine-et-le-cratere--2;5115;102;0;60;75;47.72727272727273;12;2;29;18;66;0;1;0;5;5
173;https://www.kisskissbankbank.com/fr/projects/la-classe-ouvriere;45080;112;1;60;137;117.77777777777777;8;6;26;17;117;5;1;0;5;5
174;https://www.kisskissbankbank.com/fr/projects/le-drole-de-zoziau-a-avignon;4800;106;1;60;39;60.810810810810814;14;0;22;10;37;0;1;0;5;5
175;https://www.kisskissbankbank.com/fr/projects/bliss;25537;102;0;60;331;84.31954887218045;10;4;70;52;257;1;0;0;5;5
176;https://www.kisskissbankbank.com/fr/projects/shar-eat;7525;107;1;60;112;52.98913043478261;9;5;34;18;92;0;0;0;5;5
177;https://www.kisskissbankbank.com/fr/projects/mag-in-france;12975;129;1;60;199;53.02857142857143;12;2;44;28;175;0;1;0;5;5
